Identificador de la publicación,Identificador de la cuenta,Nombre de usuario de la cuenta,Nombre de la cuenta,Descripción,Duración (segundos),Hora de publicación,Enlace permanente,Tipo de publicación,Comentario sobre los datos,Fecha,Alcance,Me gusta,Veces que se compartió,Visitas al perfil,Respuestas,Navegación,Clics en el enlace,Seguimientos,Toques en stickers,Visualizaciones,sentimiento,hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoría
1.8003913832026676e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz día
Internacional del
Café!",0.0,10/01/2023 10:04,<NA>,Historia de Instagram,nan,Total,1989.0,7.0,0.0,9.0,0.0,2019.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7896594586939092e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,5.0,12/31/2023 12:11,<NA>,Historia de Instagram,nan,Total,527.0,6.0,0.0,1.0,1.0,514.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7943046658757432e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",También tu haces mi vida muy feliz 😀❤️,0.0,12/31/2023 10:17,<NA>,Historia de Instagram,nan,Total,750.0,4.0,0.0,3.0,0.0,762.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7886212690976454e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,0.0,12/29/2023 13:44,<NA>,Historia de Instagram,nan,Total,555.0,8.0,0.0,nan,2.0,620.0,76.0,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8112602532344424e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¿Quieres recibir un ritual para incubar un sueño que te guíe en el 2024?,0.0,12/29/2023 10:09,<NA>,Historia de Instagram,nan,Total,841.0,3.0,0.0,3.0,0.0,840.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.789718009093692e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/28/2023 07:22,<NA>,Historia de Instagram,nan,Total,194.0,1.0,0.0,1.0,0.0,188.0,2.0,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.803280851466697e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,15.0,12/28/2023 07:22,<NA>,Historia de Instagram,nan,Total,204.0,2.0,0.0,1.0,0.0,192.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8017957296975384e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/28/2023 07:22,<NA>,Historia de Instagram,nan,Total,211.0,1.0,0.0,1.0,0.0,188.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8113361574342636e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/28/2023 07:22,<NA>,Historia de Instagram,nan,Total,221.0,0.0,0.0,1.0,0.0,200.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.78960874669411e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,8.0,12/28/2023 07:21,<NA>,Historia de Instagram,nan,Total,236.0,2.0,0.0,nan,0.0,211.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8030165841744536e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,5.0,12/28/2023 07:21,<NA>,Historia de Instagram,nan,Total,277.0,2.0,0.0,1.0,0.0,243.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.813165799531635e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,0.0,12/28/2023 07:21,<NA>,Historia de Instagram,nan,Total,401.0,1.0,0.0,4.0,0.0,389.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.807753293143057e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Está más peinada que yo 😂,0.0,12/27/2023 15:06,<NA>,Historia de Instagram,nan,Total,8231.0,4.0,0.0,62.0,0.0,8064.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8092816236380356e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Al curso intensivo ""Soñando el futuro juntos""",3.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,244.0,2.0,0.0,1.0,0.0,225.0,1.0,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7909123021890124e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,9.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,259.0,0.0,0.0,nan,0.0,233.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.7876512197000924e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,270.0,0.0,0.0,nan,0.0,228.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.805468800351876e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,5.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,277.0,0.0,0.0,nan,0.0,204.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8013931081099232e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,6.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,300.0,0.0,0.0,nan,0.0,242.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8043777522590296e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,6.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,350.0,3.0,0.0,2.0,0.0,316.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8088443142394188e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,3.0,12/26/2023 14:44,<NA>,Historia de Instagram,nan,Total,475.0,0.0,0.0,1.0,0.0,367.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8047279992505428e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",El poder de los sueños va más allá de quién los sueña,0.0,12/25/2023 13:12,<NA>,Historia de Instagram,nan,Total,1560.0,7.0,0.0,9.0,0.0,1546.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8008256296242844e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Elige un número
del 1 al 30 y 
te mando tu sueño",0.0,12/25/2023 09:13,<NA>,Historia de Instagram,nan,Total,828.0,6.0,1.0,2.0,0.0,857.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.806143077048676e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,8.0,12/25/2023 09:13,<NA>,Historia de Instagram,nan,Total,1171.0,10.0,0.0,3.0,1.0,1135.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8022858639933936e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",<NA>,8.0,12/23/2023 18:02,<NA>,Historia de Instagram,nan,Total,710.0,7.0,0.0,4.0,0.0,679.0,nan,nan,nan,nan,-2.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8405959440005504e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",La actitud ante todo,3.0,12/23/2023 09:05,<NA>,Historia de Instagram,nan,Total,289.0,2.0,0.0,nan,0.0,248.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
1.8035441773642148e+16,1.7841408055500202e+16,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Me gusta 😻,0.0,12/23/2023 09:05,<NA>,Historia de Instagram,nan,Total,336.0,2.0,0.0,nan,0.0,309.0,nan,nan,nan,nan,0.0,<NA>,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
