identificador_de_la_publicacion,identificador_de_la_cuenta,nombre_de_usuario_de_la_cuenta,nombre_de_la_cuenta,descripcion,duracion_segundos,hora_de_publicacion,enlace_permanente,tipo_de_publicacion,comentario_sobre_los_datos,fecha,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento
17994711058627085,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",En la recta final del Guadalupe -Reyes,0,2023-01-01 15:32:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,0.0
17989247059674185,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-01 16:17:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,-2.0
17953813415188610,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Faltan 303 días 
para Halloween",0,2023-01-01 18:34:00,,Historia de Instagram,,Total,,5,0,,0,,,,,,0.0
17973503881980868,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Para el frío,0,2023-01-03 18:36:00,,Historia de Instagram,,Total,,7,0,,0,,,,,,0.0
17974040296969337,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,13,2023-01-03 20:16:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
18252891403133810,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",Sobre el Arquetipo de la bruja,15,2023-01-03 20:22:00,,Historia de Instagram,,Total,,8,0,,0,,,,,,0.0
17921446742644118,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,39,2023-01-05 13:19:00,,Historia de Instagram,,Total,,14,0,,0,,,,,,-2.0
17976783022819107,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 12:38:00,,Historia de Instagram,,Total,,6,0,,0,,,,,,-2.0
17921845331639343,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,4,0,,0,,,,,,-2.0
17948057150313341,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,2,0,,0,,,,,,-2.0
17967861571961183,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,2023-01-06 19:11:00,,Historia de Instagram,,Total,,1,0,,0,,,,,,-2.0
17971189724066659,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,11,2023-01-06 19:11:00,,Historia de Instagram,,Total,,3,0,,0,,,,,,-2.0
