hora_de_publicacion,descripcion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoria
01/01/2023 15:32,En la recta final del Guadalupe -Reyes,,3,0,,0,,,,,,0,01/01/2023,IMG_20230101_203517_057.jpg,cookies,#425c81,happy,Comida y Bebida
01/01/2023 16:17,,,4,0,,0,,,,,,-2,01/01/2023,IMG_20230101_181738_189.jpg,pizza,#5c5f61,happy,Comida y Bebida
01/01/2023 18:34,"Faltan 303 días 
para Halloween",,5,0,,0,,,,,,0,01/01/2023,IMG_20230101_173236_089.jpg,red_wine,#747382,neutral,Comida y Bebida
03/01/2023 18:36,Para el frío,,7,0,,0,,,,,,0,03/01/2023,IMG_20230103_203624_503.jpg,plate,#5c697b,neutral,Selfie
06/01/2023 12:38,,,6,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211449_997.jpg,tray,#4d4a76,happy,"Comida y Bebida, Selfie"
06/01/2023 19:11,,,4,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211416_808.jpg,cleaver,#516da4,sad,Comida y Bebida
06/01/2023 19:11,,,2,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211406_092.jpg,newspaper,#6d6e76,sad,Selfie
06/01/2023 19:11,,,1,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211355_310.jpg,skull,#98a7aa,happy,Otro
06/01/2023 19:11,,,2,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211343_940.jpg,magnetic_compass,#464855,neutral,Otro
06/01/2023 19:11,,,3,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211333_090.jpg,restaurant,#666b7c,happy,Selfie
06/01/2023 19:11,,,1,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211322_851.jpg,restaurant,#5c6374,happy,Selfie
06/01/2023 19:11,,,1,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211205_437.jpg,street_sign,#55787a,neutral,Otro
06/01/2023 19:11,,,1,0,,0,,,,,,-2,06/01/2023,IMG_20230106_211153_582.jpg,street_signs,#52646a,happy,Otro
06/01/2023 19:14,,,2,0,,0,,,,,,-2,06/01/2023,IMG_20230106_143840_679.jpg,packet,#5c5d6b,happy,"Otro, Sticker"
07/01/2023 09:41,,,2,0,,0,,,,,,-2,07/01/2023,IMG_20230107_114144_017.jpg,potpie,#95a2ad,happy,"Comida y Bebida, Sticker"
08/01/2023 08:58,¡A ahorrar para los tamales!,,4,0,,0,,,,,,0,08/01/2023,IMG_20230108_150427_607.jpg,ski_mask,#4b3e41,neutral,Selfie
08/01/2023 13:04,Oficialmente se acabó el Guadalupe -Reyes,,5,0,,0,,,,,,0,08/01/2023,IMG_20230108_105914_439.jpg,potpie,#909ca7,happy,"Comida y Bebida, Sticker"
11/01/2023 07:02,¡Buenos días!,,6,0,,0,,,,,,0,11/01/2023,IMG_20230111_090246_054.jpg,espresso,#b4bbce,sad,Comida y Bebida
12/01/2023 13:49,¡Cuenta regresiva!,,3,0,,0,,,,,,0,12/01/2023,IMG_20230112_154949_486.jpg,people,#6c79bd,happy,Reposteo
16/01/2023 17:20,¡Ya empezamos el círculo de sueños!,,7,0,,0,,,,,,0,16/01/2023,IMG_20230116_192025_454.jpg,person,#57515f,happy,Selfie
18/01/2023 08:30,,,5,0,,0,,,,,,-2,18/01/2023,IMG_20230118_103100_626.jpg,teapot,#98a2a8,neutral,"Otro, Sticker"
20/01/2023 10:23,Es un honor ser parte de la Fundación @ekrmexico,,1,0,,0,,,,,,0,20/01/2023,IMG_20230120_122337_300.jpg,people,#5d575f,happy,"Reposteo, Con otras personas"
22/01/2023 17:37,¡Ya casi empieza!,,7,0,,0,,,,,,0,22/01/2023,IMG_20230122_193730_320.jpg,person,#6a6686,happy,Selfie
25/01/2023 14:21,,,1,0,,0,,,,,,-2,25/01/2023,IMG_20230125_162752_863.jpg,quote,#404351,happy,Reposteo
25/01/2023 14:21,,,4,0,,0,,,,,,-2,25/01/2023,IMG_20230125_162719_529.jpg,quote,#dac3ce,sad,Reposteo
25/01/2023 14:27,Nuestros sueños permanecen con nosotros. Nos ayudan a abrir el corazón en el momento de mayor miedo.,,0,0,,0,,,,,,0,25/01/2023,IMG_20230125_162138_882.jpg,people,#718387,happy,"Reposteo, Con otras personas"
30/01/2023 11:50,¿Quieres saber cómo?,2,3,0,,0,,,,,,0,29/01/2023,IMG_20230129_194514_136.jpg,quote,#57514a,happy,Reposteo
