hora_de_publicacion,alcance,me_gusta,veces_que_se_compartio,visitas_al_perfil,respuestas,navegacion,clics_en_el_enlace,seguimientos,toques_en_stickers,visualizaciones,sentimiento_score,fecha,nombre_archivo,objeto_principal,color_dominante,emocion_primaria,categoría
2023-12-31 10:17:00,750.0,4,0,3.0,0,762.0,,,,,0.0,2023-12-31,img_20231231_121800_778.JPG,quote,#251b23,angry,"Sticker, Reposteo"
2023-12-29 13:44:00,555.0,8,0,,2,620.0,76.0,,,,-2.0,2023-12-29,img_20231229_120935_441.JPG,flowers,#aa7f9f,happy,"Otro, Sticker"
2023-12-29 13:44:00,555.0,8,0,,2,620.0,76.0,,,,-2.0,2023-12-29,img_20231229_154437_750.JPG,web_site,#f3caea,neutral,"Ofrecimiento, Enlace"
2023-12-29 10:09:00,841.0,3,0,3.0,0,840.0,,,,,0.0,2023-12-29,img_20231229_120935_441.JPG,flowers,#aa7f9f,happy,"Otro, Sticker"
2023-12-29 10:09:00,841.0,3,0,3.0,0,840.0,,,,,0.0,2023-12-29,img_20231229_154437_750.JPG,web_site,#f3caea,neutral,"Ofrecimiento, Enlace"
2023-12-28 07:21:00,401.0,1,0,4.0,0,389.0,,,,,-2.0,2023-12-28,img_20231228_092223_407.JPG,person,#5e473a,sad,"Sticker, Cuerpo Completo"
2023-12-27 15:06:00,8231.0,4,0,62.0,0,8064.0,,,,,0.0,2023-12-27,img_20231227_170637_259.JPG,witch,#67626a,happy,Selfie
2023-12-25 13:12:00,1560.0,7,0,9.0,0,1546.0,,,,,0.0,2023-12-25,img_20231225_111317_831.JPG,oracle_deck,#9b7f95,happy,"Cuerpo Completo, Sticker"
2023-12-25 13:12:00,1560.0,7,0,9.0,0,1546.0,,,,,0.0,2023-12-25,img_20231225_151219_549.JPG,toys,#55779b,happy,Reposteo
2023-12-25 09:13:00,828.0,6,1,2.0,0,857.0,,,,,0.0,2023-12-25,img_20231225_111317_831.JPG,oracle_deck,#9b7f95,happy,"Cuerpo Completo, Sticker"
2023-12-25 09:13:00,828.0,6,1,2.0,0,857.0,,,,,0.0,2023-12-25,img_20231225_151219_549.JPG,toys,#55779b,happy,Reposteo
2023-12-23 09:05:00,336.0,2,0,,0,309.0,,,,,0.0,2023-12-23,img_20231223_110557_952.JPG,screen,#534e38,happy,Reposteo
2023-12-23 09:05:00,336.0,2,0,,0,309.0,,,,,0.0,2023-12-23,img_20231223_110559_012.JPG,television,#555b3c,sad,Reposteo
2023-12-23 09:05:00,473.0,3,0,1.0,0,450.0,,,,,0.0,2023-12-23,img_20231223_110557_952.JPG,screen,#534e38,happy,Reposteo
2023-12-23 09:05:00,473.0,3,0,1.0,0,450.0,,,,,0.0,2023-12-23,img_20231223_110559_012.JPG,television,#555b3c,sad,Reposteo
2023-12-22 16:27:00,1133.0,5,0,3.0,0,1127.0,,,,,0.0,2023-12-22,IMG_20231222_182937_798.jpg,coffee_mug,#4e4f66,happy,Comida y Bebida
2023-12-22 16:27:00,1133.0,5,0,3.0,0,1127.0,,,,,0.0,2023-12-22,img_20231222_182817_998.JPG,coffee_mug,#4c4d63,happy,Comida y Bebida
2023-12-20 15:51:00,847.0,4,0,3.0,0,849.0,,,,,0.0,2023-12-20,img_20231220_175120_219.JPG,dining_table,#5b6b8a,neutral,Comida y Bebida
2023-12-18 15:36:00,861.0,6,0,6.0,0,871.0,,,,,0.0,2023-12-18,img_20231218_173716_965.JPG,coffee_mug,#6c7089,happy,"Selfie, Comida y Bebida"
2023-12-14 16:53:00,1168.0,5,0,15.0,0,1160.0,,,,,0.0,2023-12-14,img_20231214_185323_269.JPG,person,#8c8399,happy,Selfie
2023-12-13 11:14:00,183.0,1,0,,0,195.0,3.0,,,,-2.0,2023-12-13,img_20231213_131506_349.JPG,person,#733d5d,neutral,"Sticker, Cuerpo Completo"
2023-12-13 11:14:00,183.0,1,0,,0,195.0,3.0,,,,-2.0,2023-12-13,img_20231213_131509_899.JPG,promo,#514940,happy,"Ofrecimiento, Enlace, Cuerpo Completo"
2023-12-13 11:14:00,316.0,1,0,3.0,0,317.0,,,,,-2.0,2023-12-13,img_20231213_131506_349.JPG,person,#733d5d,neutral,"Sticker, Cuerpo Completo"
2023-12-13 11:14:00,316.0,1,0,3.0,0,317.0,,,,,-2.0,2023-12-13,img_20231213_131509_899.JPG,promo,#514940,happy,"Ofrecimiento, Enlace, Cuerpo Completo"
2023-08-12 07:53:00,526.0,6,0,1.0,3,528.0,,,,,0.0,2023-08-12,IMG_20230812_214312_621.JPG,street_sign,#594a6f,neutral,Otro
2023-08-12 07:40:00,627.0,1,0,2.0,1,614.0,,,,,0.0,2023-08-12,IMG_20230812_214312_621.JPG,street_sign,#594a6f,neutral,Otro
2023-01-12 06:06:00,299.0,2,0,2.0,0,301.0,2.0,,,,-2.0,2023-01-12,IMG_20230112_154949_486.jpg,people,#6c79bd,happy,Reposteo
2023-11-29 07:28:00,363.0,2,0,2.0,0,353.0,,,,,0.0,2023-11-29,img_20231129_092822_072.JPG,oracle_deck,#857485,neutral,Otro
2023-11-27 09:57:00,4916.0,3,0,40.0,3,4955.0,,,,,0.0,2023-11-27,img_20231127_115721_790.JPG,plate,#8a92a0,neutral,"Comida y Bebida, Sticker"
2023-11-20 09:44:00,7545.0,3,0,56.0,0,7450.0,,,,,0.0,2023-11-20,img_20231120_114518_579.JPG,wok,#95989e,neutral,"Comida y Bebida, Sticker"
2023-11-14 15:09:00,1117.0,5,0,13.0,0,1124.0,,,,,0.0,2023-11-14,img_20231114_171018_259.JPG,oracle_deck,#6b5a5b,happy,Otro
2023-11-13 10:39:00,4649.0,11,0,15.0,0,4643.0,,,,,0.0,2023-11-13,img_20231113_124011_527.JPG,landscape,#aea38e,neutral,Otro
2023-01-11 15:23:00,1395.0,2,0,7.0,0,1404.0,,,,,0.0,2023-01-11,IMG_20230111_090246_054.jpg,espresso,#b4bbce,sad,Comida y Bebida
2023-01-11 10:15:00,537.0,4,0,2.0,0,528.0,,,,,0.0,2023-01-11,IMG_20230111_090246_054.jpg,espresso,#b4bbce,sad,Comida y Bebida
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,neutral,Comida y Bebida
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,happy,Otro
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,happy,Comida y Bebida
2023-10-31 17:08:00,273.0,1,0,1.0,0,268.0,,,,,-2.0,2023-10-31,img_20231031_180907_348.JPG,cake,#6984b4,neutral,Comida y Bebida
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,neutral,Comida y Bebida
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,happy,Otro
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,happy,Comida y Bebida
2023-10-31 16:37:00,307.0,2,0,,0,292.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,cake,#6984b4,neutral,Comida y Bebida
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,neutral,Comida y Bebida
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,happy,Otro
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,happy,Comida y Bebida
2023-10-31 09:42:00,346.0,3,0,1.0,0,328.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,cake,#6984b4,neutral,Comida y Bebida
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_090116_142.JPG,espresso,#90a2ba,neutral,Comida y Bebida
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_104302_997.JPG,carton,#8e9098,happy,Otro
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_17342_753.JPG,bagel,#5a7795,happy,Comida y Bebida
2023-10-31 08:00:00,412.0,6,0,,0,411.0,,,,,0.0,2023-10-31,img_20231031_180907_348.JPG,cake,#6984b4,neutral,Comida y Bebida
2023-10-30 12:41:00,202.0,0,0,,0,198.0,,,,,0.0,2023-10-30,img_20231030_134200_340.JPG,coffee_mug,#9898a0,sad,"Selfie, Comida y Bebida"
2023-10-29 15:11:00,7241.0,5,0,29.0,0,7235.0,,,4.0,,-2.0,2023-10-29,img_20231029_16114_271.JPG,people,#9c96b2,happy,"Reposteo, Con otras personas"
2023-10-25 17:58:00,2591.0,2,0,16.0,0,2619.0,,,,,0.0,2023-10-25,img_20231025_185900_681.JPG,toy,#545b73,sad,Otro
2023-10-23 10:12:00,1567.0,3,0,6.0,0,1616.0,,,,,0.0,2023-10-23,img_20231023_111222_164.JPG,food,#54606c,neutral,Comida y Bebida
2023-10-19 09:17:00,1533.0,2,0,14.0,0,1623.0,,,,,0.0,2023-10-19,img_20231019_101739_145.JPG,coffee,#778691,happy,Comida y Bebida
2023-10-16 10:19:00,6409.0,8,0,21.0,0,6576.0,,,,,0.0,2023-10-16,img_20231016_111931_352.JPG,fruit,#5c6980,neutral,Comida y Bebida
2023-10-14 17:30:00,5121.0,8,0,32.0,2,5180.0,,,,,0.0,2023-10-14,img_20231014_183052_868.JPG,cookie,#5e5d74,neutral,"Selfie, Comida y Bebida"
2023-05-10 13:43:00,801.0,1,0,5.0,0,802.0,,,,,0.0,2023-05-10,img_20230510_105830_075.JPG,candy,#8a8496,happy,"Selfie, Comida y Bebida"
2023-02-10 10:20:00,232.0,1,0,,0,225.0,,,,,-2.0,2023-02-10,IMG_20230210_131835_344.jpg,background_color,#779aac,happy,"Reposteo, Sticker"
2023-02-10 10:20:00,232.0,1,0,,0,225.0,,,,,-2.0,2023-02-10,IMG_20230210_131753_231.jpg,background_color,#c7c0d3,sad,Reposteo
2023-02-10 10:17:00,414.0,2,0,,0,438.0,,,,,-2.0,2023-02-10,IMG_20230210_131835_344.jpg,background_color,#779aac,happy,"Reposteo, Sticker"
2023-02-10 10:17:00,414.0,2,0,,0,438.0,,,,,-2.0,2023-02-10,IMG_20230210_131753_231.jpg,background_color,#c7c0d3,sad,Reposteo
2023-05-07 20:59:00,704.0,1,0,2.0,0,703.0,,,,,-2.0,2023-05-07,img_20230507_094152_08.JPG,quote,#52565f,happy,Reposteo
2023-09-29 09:58:00,456.0,1,0,5.0,0,462.0,,,,,-2.0,2023-09-29,img_20230929_105901_289.JPG,quote,#a5c9d9,happy,Reposteo
2023-09-26 14:55:00,881.0,2,0,11.0,0,892.0,,,,,0.0,2023-09-26,img_20230926_155613_230.JPG,web_site,#cdcfd6,neutral,"Reposteo, Sticker"
