nombre_archivo,fecha,objeto_principal,color_dominante,emocion_primaria
IMG_20231222_182937_798.jpg,2023-12-22,potter's_wheel,#4e4f66,happy
IMG_20231106_195856_513.webp,2023-11-06,swing,#42454e,happy
IMG_20231103_173639_881.webp,2023-11-03,corn,#656b7c,happy
IMG_20231102_210840_705.webp,2023-11-02,altar,#686977,fear
IMG_20230417_194119_473.jpg,2023-04-17,jersey,#c3718a,sad
IMG_20230413_182723_462.jpg,2023-04-13,hotdog,#747888,fear
IMG_20230407_102256_670.jpg,2023-04-07,web_site,#b77e64,happy
IMG_20230406_180835_997.jpg,2023-04-06,web_site,#cbab9e,neutral
IMG_20230405_144238_793.jpg,2023-04-05,sunglasses,#828696,neutral
IMG_20230403_171043_251.jpg,2023-04-03,seat_belt,#7a8697,happy
IMG_20230401_174937_805.jpg,2023-04-01,seat_belt,#8b8f98,surprise
IMG_20230401_115828_786.jpg,2023-04-01,patio,#7e878c,surprise
IMG_20230401_115753_686.jpg,2023-04-01,altar,#76717b,angry
IMG_20230331_155411_825.jpg,2023-03-31,beer_glass,#60696d,happy
IMG_20230331_143018_428.jpg,2023-03-31,envelope,#ccafb7,happy
IMG_20230331_142915_212.jpg,2023-03-31,feather_boa,#657385,angry
IMG_20230331_142836_189.jpg,2023-03-31,cock,#6d798a,angry
IMG_20230327_092942_876.jpg,2023-03-27,bonnet,#787a7f,fear
IMG_20230326_113944_601.jpg,2023-03-26,web_site,#626065,happy
IMG_20230324_083604_745.jpg,2023-03-24,web_site,#b59d85,happy
IMG_20230319_150117_392.jpg,2023-03-19,wooden_spoon,#9c9396,sad
IMG_20230313_102215_888.jpg,2023-03-13,envelope,#a89b75,happy
IMG_20230308_164700_665.jpg,2023-03-08,web_site,#a98ba9,happy
IMG_20230307_201630_426.jpg,2023-03-07,web_site,#7e5386,happy
IMG_20230307_201332_870.jpg,2023-03-07,web_site,#63408d,angry
IMG_20230307_201313_495.jpg,2023-03-07,web_site,#60307b,sad
IMG_20230307_201258_444.jpg,2023-03-07,web_site,#603584,sad
IMG_20230307_201210_797.jpg,2023-03-07,web_site,#623684,sad
IMG_20230307_201157_014.jpg,2023-03-07,web_site,#633a87,fear
IMG_20230307_201137_890.jpg,2023-03-07,web_site,#643f8d,happy
IMG_20230306_114921_701.jpg,2023-03-06,packet,#9ca993,happy
IMG_20230214_212509_153.jpg,2023-02-14,web_site,#896fb2,neutral
IMG_20230214_212315_147.jpg,2023-02-14,web_site,#612a78,fear
IMG_20230214_212251_695.jpg,2023-02-14,web_site,#612670,fear
IMG_20230214_212233_315.jpg,2023-02-14,web_site,#643682,fear
