"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,Seguimientos,"Toques en stickers","Clics en el enlace"
17903066294755016,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2023 10:58",,"Historia de Instagram",,Total,1066,2,0,4,0,1074,,,
17969658998495562,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Me voy de fiesta",0,"04/01/2023 16:49",,"Historia de Instagram",,Total,1200,0,0,7,0,1196,,,
17868472607840414,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"04/02/2023 11:32",,"Historia de Instagram",,Total,985,7,0,1,0,915,,,
17993928901840296,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"04/02/2023 11:39",,"Historia de Instagram",,Total,757,5,0,3,0,640,,,
17938766375631769,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"04/02/2023 11:41",,"Historia de Instagram",,Total,693,3,0,1,1,616,,,
17997576940776819,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,12,"04/03/2023 07:42",,"Historia de Instagram",,Total,686,3,0,1,1,688,,2,
17979505067082348,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cuando la vida es un sueño",3,"04/03/2023 16:01",,"Historia de Instagram",,Total,589,2,0,1,0,411,,,
17998776556691460,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/03/2023 16:10",,"Historia de Instagram",,Total,519,5,1,3,1,523,,,
18358551013046041,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Salir de viaje es como un sueño, no sabes qué va a suceder",15,"04/04/2023 09:07",,"Historia de Instagram",,Total,552,6,0,7,0,592,1,,
17910980009726757,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Disfruta tus sueños, disfruta tu vida (cuando no sean pesadillas)",0,"04/05/2023 13:42",,"Historia de Instagram",,Total,1897,3,0,11,0,1908,,,
17951184494421619,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/06/2023 17:08",,"Historia de Instagram",,Total,1271,4,0,6,0,1327,,,
18005108350580594,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"04/07/2023 21:22",,"Historia de Instagram",,Total,740,4,0,5,0,825,,,
18248626282087562,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Te extraño mucho amiga",15,"04/10/2023 17:31",,"Historia de Instagram",,Total,928,6,0,11,0,959,,1,
18287561926096451,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"04/10/2023 20:26",,"Historia de Instagram",,Total,701,3,0,,0,676,,,
17930468123568651,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"04/10/2023 21:57",,"Historia de Instagram",,Total,567,2,0,4,0,595,,,
17972450018244009,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cuando la vida es un sueño",15,"04/11/2023 17:45",,"Historia de Instagram",,Total,537,4,0,10,0,594,,,
17895013952792580,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"04/12/2023 11:11",,"Historia de Instagram",,Total,330,0,0,2,0,316,,,
18173555428274464,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,"04/12/2023 11:26",,"Historia de Instagram",,Total,305,2,0,1,1,294,,,
17912636999725038,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Celebrando el 
aniversario de 
@geekandcoffee",0,"04/13/2023 17:27",,"Historia de Instagram",,Total,1767,5,0,16,2,1802,,,
