"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,"Toques en stickers",Navegación
17877862260053737,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2024 10:44",,"Historia de Instagram",,Total,293,2,0,2,0,,295
17845934796190233,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"04/01/2024 10:44",,"Historia de Instagram",,Total,420,0,0,15,0,,423
18026593130503997,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/28/2024 12:31",,"Historia de Instagram",,Total,980,3,0,14,3,,1129
18031347727988345,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,102,0,0,1,1,,112
17887475403025916,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,109,0,0,,0,,113
18033224614945759,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,116,0,0,,0,,119
18009875474209447,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,119,1,0,,0,,126
18016155605347168,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,133,1,0,1,0,,136
18297317686093822,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/22/2024 11:11",,"Historia de Instagram",,Total,151,1,0,2,0,,155
17975180348572151,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"05/13/2024 11:30",,"Historia de Instagram",,Total,167,3,1,,0,,176
18331899442190042,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"05/13/2024 11:27",,"Historia de Instagram",,Total,181,0,0,,0,,179
17845971726216223,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/13/2024 11:27",,"Historia de Instagram",,Total,205,0,0,1,0,,211
18013521644136397,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/13/2024 11:27",,"Historia de Instagram",,Total,312,0,0,2,1,,326
17882420169051411,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/10/2024 19:37",,"Historia de Instagram",,Total,222,3,0,1,0,,221
18322007083124007,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/10/2024 19:37",,"Historia de Instagram",,Total,229,4,0,1,1,,214
17910389126948439,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/10/2024 19:37",,"Historia de Instagram",,Total,240,4,0,1,0,,233
18088538977439954,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/10/2024 19:37",,"Historia de Instagram",,Total,256,5,0,,1,,234
18006671474583371,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"05/10/2024 19:37",,"Historia de Instagram",,Total,347,3,0,,0,,350
17964016094736901,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,13,"05/08/2024 10:21",,"Historia de Instagram",,Total,367,2,0,1,1,,409
18049087066632774,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"05/06/2024 10:59",,"Historia de Instagram",,Total,140,2,0,,0,,157
18004174172295563,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/06/2024 10:58",,"Historia de Instagram",,Total,146,1,0,,0,,164
18024386173943987,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/06/2024 10:58",,"Historia de Instagram",,Total,167,2,0,,0,,185
18003866687290039,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"05/06/2024 10:57",,"Historia de Instagram",,Total,232,3,0,,0,,254
18011299493147269,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/04/2024 15:13",,"Historia de Instagram",,Total,994,3,0,15,1,,1120
17864521338107955,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/04/2024 15:13",,"Historia de Instagram",,Total,1068,2,0,9,1,,1082
18024389138281690,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/04/2024 15:13",,"Historia de Instagram",,Total,1116,3,0,6,0,,1146
18037040179808234,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/04/2024 15:13",,"Historia de Instagram",,Total,1205,4,0,4,0,,1248
18031934602939430,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/04/2024 15:13",,"Historia de Instagram",,Total,1516,2,0,7,0,,1553
18004110986583262,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/03/2024 16:05",,"Historia de Instagram",,Total,172,0,0,3,0,,210
17989970153633504,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/03/2024 16:05",,"Historia de Instagram",,Total,187,0,0,,0,,187
18028257959062693,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/03/2024 16:05",,"Historia de Instagram",,Total,194,0,0,,0,,176
18233740237302113,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"05/03/2024 16:05",,"Historia de Instagram",,Total,216,0,0,,0,,209
17871580332092336,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/03/2024 16:04",,"Historia de Instagram",,Total,302,0,0,2,0,,330
17906251697950908,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"05/01/2024 16:48",,"Historia de Instagram",,Total,391,5,0,5,0,,452
18063172129490299,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"04/30/2024 19:11",,"Historia de Instagram",,Total,2172,9,0,16,0,,2171
18030473248832968,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,11,"04/28/2024 08:14",,"Historia de Instagram",,Total,676,3,0,2,0,,710
17906661707953343,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"04/27/2024 14:40",,"Historia de Instagram",,Total,1553,9,1,19,1,,1632
