"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,"Me gusta","Veces que se compartió",Respuestas,Alcance,"Visitas al perfil",Navegación,Seguimientos,"Clics en el enlace","Toques en stickers"
18027921742445813,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"01/06/2023 19:11",,"Historia de Instagram",,Total,3,0,0,,,,,,
17996698324779896,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",¡Salud!,0,"03/31/2023 14:53",,"Historia de Instagram",,Total,4,0,0,653,6,666,,,
18012590089522242,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Patos sincronizados",5,"03/31/2023 13:54",,"Historia de Instagram",,Total,5,0,0,635,2,554,,,
18059394082376538,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/31/2023 13:30",,"Historia de Instagram",,Total,3,0,0,665,3,676,,,
17948610521538582,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Y ponen altares públicos",0,"03/31/2023 13:28",,"Historia de Instagram",,Total,10,0,0,738,1,726,,,
17991133759882374,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy es Viernes de dolores, en mi ciudad regalan helado",0,"03/31/2023 13:28",,"Historia de Instagram",,Total,6,0,0,951,1,897,,,
17981736800051653,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"03/30/2023 21:02",,"Historia de Instagram",,Total,7,0,0,705,5,736,,,
18347503831040733,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"03/29/2023 18:18",,"Historia de Instagram",,Total,3,0,0,865,5,841,,,
17981813074879424,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy es el último día del retiro con @ekrmexico",0,"03/27/2023 08:28",,"Historia de Instagram",,Total,3,0,0,1700,19,1771,,,
18251621848153923,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cuando la vida es un sueño",15,"03/26/2023 18:30",,"Historia de Instagram",,Total,5,0,1,1388,6,1398,,,
17970362288224419,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy muy agradecida de ser parte del equipo de @ekrmexico",0,"03/26/2023 10:39",,"Historia de Instagram",,Total,5,0,0,1384,11,1386,,,6
