"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace"
17965219742677031,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Escribí mi intención
en mi diario de sueños
y al despertar registré
mi sueño",15,"01/01/2024 09:56",,"Historia de Instagram",,Total,517,2,0,1,1,506,
17921389346834561,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Uno de mis
propósitos fue
tener un sueño que
me guíe en este 2024",15,"01/01/2024 09:53",,"Historia de Instagram",,Total,715,2,0,2,0,709,
18023747666018249,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,2,"03/27/2024 07:34",,"Historia de Instagram",,Total,111,0,0,1,0,104,
18035079859881649,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"03/27/2024 07:34",,"Historia de Instagram",,Total,121,0,0,,0,119,
18054575599567886,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"03/27/2024 07:34",,"Historia de Instagram",,Total,138,0,0,1,0,136,
18036354016798424,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"03/27/2024 07:34",,"Historia de Instagram",,Total,225,0,0,2,0,222,
18013741961197035,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"03/21/2024 08:19",,"Historia de Instagram",,Total,100,0,0,,0,101,
17940398111797947,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/21/2024 08:19",,"Historia de Instagram",,Total,107,0,0,,0,109,
18012642281249563,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"03/21/2024 08:19",,"Historia de Instagram",,Total,121,0,0,,0,118,
17998230680531482,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"03/21/2024 08:19",,"Historia de Instagram",,Total,121,0,0,,0,106,
18026398108952767,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"03/21/2024 08:19",,"Historia de Instagram",,Total,131,0,0,1,0,115,
18023177306088670,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"03/21/2024 08:19",,"Historia de Instagram",,Total,138,0,0,,0,129,
17970308963566774,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/21/2024 08:19",,"Historia de Instagram",,Total,215,0,0,2,0,219,
17899561673891856,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"03/19/2024 07:29",,"Historia de Instagram",,Total,129,1,0,1,1,122,
17907098750936468,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/19/2024 07:29",,"Historia de Instagram",,Total,133,0,0,,0,128,
18090540970416491,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,7,"03/19/2024 07:29",,"Historia de Instagram",,Total,140,0,0,,0,133,
18076425508422370,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/19/2024 07:29",,"Historia de Instagram",,Total,145,0,0,,0,140,
17993236382356679,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"03/19/2024 07:29",,"Historia de Instagram",,Total,153,0,0,,0,149,
17993463029364487,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/19/2024 07:29",,"Historia de Instagram",,Total,173,1,0,,0,169,
18019612730121976,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/19/2024 07:29",,"Historia de Instagram",,Total,281,2,0,2,0,280,
18022805909312656,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"03/16/2024 17:43",,"Historia de Instagram",,Total,292,4,0,1,1,283,
18217484461274001,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"03/16/2024 17:40",,"Historia de Instagram",,Total,466,1,0,,0,471,
