"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos,"Clics en el enlace"
17900408684752379,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/06/2023 08:40",,"Historia de Instagram",,Total,547,1,0,4,0,546,,,
17949971933636302,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"07/05/2023 20:59",,"Historia de Instagram",,Total,704,1,0,2,0,703,,,
17890732667911799,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,10,"09/30/2023 08:39",,"Historia de Instagram",,Total,489,7,0,5,0,484,,,
18007633861976857,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/29/2023 09:58",,"Historia de Instagram",,Total,456,1,0,5,0,462,,,
18198380845283998,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿También les mandan videos de Jesús o sólo a mi?",0,"09/26/2023 14:55",,"Historia de Instagram",,Total,881,2,0,11,0,892,,,
17981819918449345,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buscando material
Para mi siguiente video",5,"09/22/2023 12:21",,"Historia de Instagram",,Total,468,0,0,3,0,458,,1,
17980188350307384,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Qué tal tu viernes?",0,"09/22/2023 10:26",,"Historia de Instagram",,Total,721,1,0,8,0,756,,,
17981160458284160,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Buenos días 🌄",7,"09/21/2023 07:39",,"Historia de Instagram",,Total,435,3,0,1,0,436,,,
18016458298686788,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"09/20/2023 15:03",,"Historia de Instagram",,Total,292,3,0,3,0,275,,,
18004790053990917,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/19/2023 21:42",,"Historia de Instagram",,Total,338,1,0,3,0,328,,,
18025450498637193,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"09/19/2023 20:13",,"Historia de Instagram",,Total,590,1,0,7,1,584,,,
17995863536009978,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Reflexiones que sólo pasan en mi canal.... ¿Ya te uniste?",0,"09/18/2023 12:25",,"Historia de Instagram",,Total,324,1,0,1,0,325,,,
17903586752778096,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"09/18/2023 08:09",,"Historia de Instagram",,Total,377,3,0,4,0,360,,,
18020357773707086,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias a quiénes asistieron a la charla. Pronto daré detalles sobre la próxima!",7,"09/15/2023 12:06",https://instagram.com/stories/jessonirica/3192576436334514436,"Historia de Instagram",,Total,169,0,0,,0,139,,,
