"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Toques en stickers",Seguimientos
17950252364818824,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En la clausura del festival Transhumante
@colectivatrashumante",10,"07/28/2024 17:41",,"Historia de Instagram",,Total,2779,2692,7,0,18,0,3181,2,
17870728116149730,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,16,"08/03/2024 16:15",,"Historia de Instagram",,Total,468,455,5,0,5,0,552,2,
17879342913050212,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Les presento  @espaciofim 
en el que honramos  los sueños y el lenguaje simbólico como aspectos integrales en los procesos de transición",0,"08/05/2024 10:58",,"Historia de Instagram",,Total,286,278,5,0,3,0,326,,
18041190175821273,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Mi compromiso con @espaciofim",0,"08/05/2024 10:59",,"Historia de Instagram",,Total,185,180,4,0,1,0,203,,
18030373574328664,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/05/2024 21:48",,"Historia de Instagram",,Total,263,257,2,0,2,0,292,,
18129450433362780,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Tengo un nuevo diario de sueños!

¿Ya tienes uno?

#houseofinstagram",0,"08/08/2024 08:58",,"Historia de Instagram",,Total,351,343,5,0,1,0,432,,
18040774093951854,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",#houseofinstagram,60,"08/08/2024 09:00",,"Historia de Instagram",,Total,207,202,2,0,,0,256,,
18265333957300216,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Cafecito en
#houseofinstagram",0,"08/08/2024 09:01",,"Historia de Instagram",,Total,201,200,5,0,2,1,251,,
18044431291822374,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Un momento 
onírico en
@myacafemx 📷",0,"08/08/2024 20:04",,"Historia de Instagram",,Total,698,658,6,0,3,1,687,2,
18004219505418526,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","En #vidconméxico2024",0,"08/09/2024 13:55",,"Historia de Instagram",,Total,536,526,6,0,3,1,640,,
18028003025266376,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","La vida
es un sueño",0,"08/09/2024 15:59",,"Historia de Instagram",,Total,432,415,10,0,2,0,504,,
18101438221390657,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Lista para el día 2!",0,"08/10/2024 09:35",,"Historia de Instagram",,Total,848,810,4,0,5,0,988,,
17972655296623137,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Vi a Missasinfonía!",0,"08/10/2024 11:44",,"Historia de Instagram",,Total,698,685,2,0,8,0,799,,
17859860286167913,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Todos los sueños tienen significado.... Mis sueños cuando tengo hanmbre...",0,"08/10/2024 13:23",,"Historia de Instagram",,Total,628,621,4,0,8,0,730,,
18027789824211371,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Lista para el último día!",0,"08/11/2024 09:28",,"Historia de Instagram",,Total,381,377,3,0,2,0,434,,
18052798510642278,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"08/11/2024 09:28",,"Historia de Instagram",,Total,260,255,2,0,1,0,311,,
18044080774901345,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Gracias a @jazwareslatam 
por los regalos!

¡Se los enseño al rato!

#SquishmallowsSquad #Encuentra TuSquish",0,"08/11/2024 13:55",,"Historia de Instagram",,Total,478,450,2,0,1,1,370,6,
