"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,Navegación,"Clics en el enlace",Seguimientos,"Toques en stickers"
18003913832026677,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz día
Internacional del
Café!",0,"10/01/2023 10:04",,"Historia de Instagram",,Total,1989,7,0,9,0,2019,,,
17896594586939091,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"12/31/2023 12:11",,"Historia de Instagram",,Total,527,6,0,1,1,514,,,
17943046658757431,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","También tu haces mi vida muy feliz 😀❤️",0,"12/31/2023 10:17",,"Historia de Instagram",,Total,750,4,0,3,0,762,,,
17886212690976454,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/29/2023 13:44",,"Historia de Instagram",,Total,555,8,0,,2,620,76,,
18112602532344424,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¿Quieres recibir un ritual para incubar un sueño que te guíe en el 2024?",0,"12/29/2023 10:09",,"Historia de Instagram",,Total,841,3,0,3,0,840,,,
17897180090936919,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/28/2023 07:22",,"Historia de Instagram",,Total,194,1,0,1,0,188,2,,
18032808514666966,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"12/28/2023 07:22",,"Historia de Instagram",,Total,204,2,0,1,0,192,,,
18017957296975382,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/28/2023 07:22",,"Historia de Instagram",,Total,211,1,0,1,0,188,,,
18113361574342636,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/28/2023 07:22",,"Historia de Instagram",,Total,221,0,0,1,0,200,,,
17896087466941100,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"12/28/2023 07:21",,"Historia de Instagram",,Total,236,2,0,,0,211,,,
18030165841744538,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"12/28/2023 07:21",,"Historia de Instagram",,Total,277,2,0,1,0,243,,,
18131657995316351,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,0,"12/28/2023 07:21",,"Historia de Instagram",,Total,401,1,0,4,0,389,,,
18077532931430567,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Está más peinada que yo 😂",0,"12/27/2023 15:06",,"Historia de Instagram",,Total,8231,4,0,62,0,8064,,,
18092816236380356,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Al curso intensivo ""Soñando el futuro juntos""",3,"12/26/2023 14:44",,"Historia de Instagram",,Total,244,2,0,1,0,225,1,,
17909123021890123,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,9,"12/26/2023 14:44",,"Historia de Instagram",,Total,259,0,0,,0,233,,,
17876512197000924,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/26/2023 14:44",,"Historia de Instagram",,Total,270,0,0,,0,228,,,
18054688003518761,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,5,"12/26/2023 14:44",,"Historia de Instagram",,Total,277,0,0,,0,204,,,
18013931081099232,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"12/26/2023 14:44",,"Historia de Instagram",,Total,300,0,0,,0,242,,,
18043777522590297,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,6,"12/26/2023 14:44",,"Historia de Instagram",,Total,350,3,0,2,0,316,,,
18088443142394189,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/26/2023 14:44",,"Historia de Instagram",,Total,475,0,0,1,0,367,,,
18047279992505429,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","El poder de los sueños va más allá de quién los sueña",0,"12/25/2023 13:12",,"Historia de Instagram",,Total,1560,7,0,9,0,1546,,,
18008256296242844,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Elige un número
del 1 al 30 y 
te mando tu sueño",0,"12/25/2023 09:13",,"Historia de Instagram",,Total,828,6,1,2,0,857,,,
18061430770486758,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,8,"12/25/2023 09:13",,"Historia de Instagram",,Total,1171,10,0,3,1,1135,,,
