"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió","Visitas al perfil",Respuestas,"Toques en stickers",Navegación,Seguimientos
18089224099490194,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","A punto de comenzar entrenamiento presencial para a @ekrmexico  y @espaciofim",0,"10/02/2024 16:34",,"Historia de Instagram",,Total,3644,3515,8,0,13,0,,3600,
18038312045360150,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,3,"12/31/2024 22:10",,"Historia de Instagram",,Total,596,581,5,0,5,1,,572,
17864196498297450,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia",,15,"12/31/2024 09:31",,"Historia de Instagram",,Total,489,471,2,0,1,0,,483,
18384603337106889,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz último fin de semana del año!",5,"12/28/2024 16:31",,"Historia de Instagram",,Total,763,736,2,0,3,0,,741,
17924417397005932,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Todos los sueños tienen significado

Mis sueños:",15,"12/27/2024 10:57",,"Historia de Instagram",,Total,1307,1284,3,0,4,0,,1270,
17890648578147542,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy es un buen sábado para no hacer nada...
¡Aunque sea Miércoles!",0,"12/25/2024 16:50",,"Historia de Instagram",,Total,9335,9136,14,0,42,1,,9011,
18262075210265584,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","¡Feliz Navidad!",0,"12/24/2024 11:50",,"Historia de Instagram",,Total,8477,7994,6,0,54,0,,8634,
18070754068660432,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco la clase para hacer mole a la que fui !

¿Tu qué agradeces hoy?",0,"12/22/2024 13:54",,"Historia de Instagram",,Total,11712,11464,5,0,29,0,,10993,
17874059664236030,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Aquí una muestra.👇",15,"12/20/2024 18:26",,"Historia de Instagram",,Total,815,794,3,0,1,1,,804,
17858411922264085,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco que, después de años de estar grabando videos en la calle, finalmente encontré cómo integrarlos a mi contenido.

¿Tu qué agradeces hoy?",0,"12/20/2024 18:25",,"Historia de Instagram",,Total,1173,1112,6,0,5,0,,1050,
18126294244401493,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Agradezco la
oportunidad de
viajar.

¿Tu qué agradeces hoy?",0,"12/19/2024 14:35",,"Historia de Instagram",,Total,5738,5638,10,0,26,1,,5580,
18110758576444330,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Estoy pensando en hacer una cuenta nueva sobre tecnología y programación.",0,"12/18/2024 10:17",,"Historia de Instagram",,Total,337,330,1,0,2,0,,318,
18335888701154826,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Porque no se vive sólo de sueños, hoy agradezco haber tomado la decisión de certificarme en Data Science y Machine Learning.

¿Tu qué agradeces hoy?",0,"12/18/2024 10:09",,"Historia de Instagram",,Total,530,504,3,1,2,1,,508,
18130376785376107,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Ustedes no saben, pero doy clases a niños de primaria. Este año hicimos cortometrajes de stop motion, un audio cuento, un podcast, hemos ido a un programa de radio y estamos por lanzar un canal de Youtube.

Hoy agradezco la oportunidad que tengo de aprender tanto de mis alumnos.

¿Tu qué agradeces hoy?",0,"12/17/2024 08:56",,"Historia de Instagram",,Total,5423,5285,10,0,32,1,,5270,
17930912726966523,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco que mi bendi se tome el tiempo de explicarme los memes, aunque se ría de mí en el proceso.

¿Tu qué agradeces? *foto aprobada
por la bendi",0,"12/15/2024 19:49",,"Historia de Instagram",,Total,6152,6018,7,0,21,0,,5701,
17952733112894000,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco la coffee experience a la que me invitaron en @myacafemx  y a las hermosas fotos que me sacó @los_paisajes_de_ali 

¿Tu qué agradeces hoy?",0,"12/14/2024 19:32",,"Historia de Instagram",,Total,4587,4332,3,0,11,0,,4372,
18469601890008634,17841408055500202,jessonirica,"Jess Onírica | Sueños, creatividad, espiritualidad y conciencia","Hoy agradezco la oportunidad que tuve de asistir a Vidcon y por todo lo que aprendí de grandes creadores de contenido.

¿Tu qué agradeces hoy?",0,"12/13/2024 15:48",,"Historia de Instagram",,Total,12818,12558,6,0,48,0,,12268,
